01.03.14;Samstag;5;13;24;28;38;47;;1
26.02.14;Mittwoch;8;9;11;19;31;48;;7
22.02.14;Samstag;25;26;30;32;39;46;;5
19.02.14;Mittwoch;4;18;21;29;36;43;;3
15.02.14;Samstag;7;8;17;31;44;48;;1
12.02.14;Mittwoch;10;15;16;18;35;37;;5
08.02.14;Samstag;4;18;29;33;42;44;;4
05.02.14;Mittwoch;7;9;16;17;26;32;;1
01.02.14;Samstag;17;18;42;46;47;49;;2
29.01.14;Mittwoch;3;12;15;26;34;36;;5
25.01.14;Samstag;24;32;36;37;45;48;;8
22.01.14;Mittwoch;2;18;23;26;42;46;;8
18.01.14;Samstag;11;15;16;26;32;36;;2
15.01.14;Mittwoch;6;22;39;41;43;49;;4
11.01.14;Samstag;5;8;14;23;29;38;;1
08.01.14;Mittwoch;20;28;31;36;44;45;;9
04.01.14;Samstag;16;19;25;36;39;48;;1
01.01.14;Mittwoch;6;8;23;24;25;46;;6
28.12.13;Samstag;6;9;10;22;32;43;;3
25.12.13;Mittwoch;4;26;27;40;44;46;;8
21.12.13;Samstag;4;5;17;25;27;35;;5
18.12.13;Mittwoch;2;12;18;34;35;44;;9
14.12.13;Samstag;5;6;17;19;27;38;;3
11.12.13;Mittwoch;7;18;22;38;39;49;;6
07.12.13;Samstag;4;9;15;19;26;48;;0
04.12.13;Mittwoch;13;20;22;41;42;49;;6
30.11.13;Samstag;1;24;30;33;39;47;;7
27.11.13;Mittwoch;11;28;31;36;38;42;;7
23.11.13;Samstag;7;12;19;30;33;35;;5
20.11.13;Mittwoch;9;16;19;24;36;42;;5
16.11.13;Samstag;9;19;24;39;42;43;;4
13.11.13;Mittwoch;5;12;15;16;35;46;;1
09.11.13;Samstag;6;12;13;28;32;33;;7
06.11.13;Mittwoch;12;13;22;30;35;36;;2
02.11.13;Samstag;9;12;15;19;24;38;;5
30.10.13;Mittwoch;10;12;13;30;36;45;;1
26.10.13;Samstag;9;18;20;22;24;25;;2
23.10.13;Mittwoch;7;16;21;23;26;33;;7
19.10.13;Samstag;4;10;14;24;38;40;;5
16.10.13;Mittwoch;9;32;38;40;44;49;;8
12.10.13;Samstag;14;25;29;38;44;46;;9
09.10.13;Mittwoch;9;11;22;29;46;48;;3
05.10.13;Samstag;3;9;12;35;44;48;;5
02.10.13;Mittwoch;17;27;42;43;46;47;;3
28.09.13;Samstag;3;23;31;32;37;41;;2
25.09.13;Mittwoch;7;14;26;30;33;43;;3
21.09.13;Samstag;8;13;22;32;40;43;;8
18.09.13;Mittwoch;4;11;20;21;30;46;;3
14.09.13;Samstag;10;21;22;23;30;40;;2
11.09.13;Mittwoch;12;16;28;40;42;48;;3
07.09.13;Samstag;12;22;24;37;41;43;;9
04.09.13;Mittwoch;1;17;19;31;34;38;;9
31.08.13;Samstag;1;22;26;37;39;44;;4
28.08.13;Mittwoch;2;3;22;29;35;37;;9
24.08.13;Samstag;2;6;25;27;29;30;;3
21.08.13;Mittwoch;5;15;21;27;29;48;;1
17.08.13;Samstag;13;17;19;25;28;42;;8
14.08.13;Mittwoch;3;8;9;34;35;39;;3
10.08.13;Samstag;3;9;17;31;36;39;;7
07.08.13;Mittwoch;11;14;16;24;36;42;;4
03.08.13;Samstag;6;19;25;31;40;47;;2
31.07.13;Mittwoch;3;6;26;38;39;47;;7
27.07.13;Samstag;11;20;30;31;34;40;;0
24.07.13;Mittwoch;2;8;15;28;31;36;;6
20.07.13;Samstag;3;11;18;29;33;46;;4
17.07.13;Mittwoch;11;17;20;26;28;38;;3
13.07.13;Samstag;3;18;28;29;38;48;;1
10.07.13;Mittwoch;11;16;19;29;41;43;;9
06.07.13;Samstag;3;8;11;17;20;49;;9
03.07.13;Mittwoch;7;9;13;14;17;36;;2
29.06.13;Samstag;7;22;28;36;43;44;;9
26.06.13;Mittwoch;2;22;31;32;39;43;;2
22.06.13;Samstag;5;10;19;31;35;43;;8
19.06.13;Mittwoch;3;18;19;29;42;49;;5
15.06.13;Samstag;6;14;16;25;43;49;;1
12.06.13;Mittwoch;5;6;7;10;15;23;;6
08.06.13;Samstag;3;12;26;30;38;47;;3
05.06.13;Mittwoch;19;21;30;39;47;49;;1
01.06.13;Samstag;2;13;28;30;32;36;;1
29.05.13;Mittwoch;2;5;7;14;40;41;;5
25.05.13;Samstag;3;17;23;25;29;44;;0
22.05.13;Mittwoch;6;8;23;24;35;36;;8
18.05.13;Samstag;1;2;16;20;22;32;;6
15.05.13;Mittwoch;2;4;16;29;38;45;;2
11.05.13;Samstag;3;7;31;32;40;41;;2
08.05.13;Mittwoch;4;6;11;22;30;42;;7
04.05.13;Samstag;5;7;11;21;22;48;;8
01.05.13;Mittwoch;9;12;15;16;22;28;5;9
27.04.13;Samstag;3;10;11;28;32;43;41;3
24.04.13;Mittwoch;7;14;19;39;48;49;9;0
20.04.13;Samstag;6;28;31;36;38;48;10;9
17.04.13;Mittwoch;9;24;35;37;38;45;20;7
13.04.13;Samstag;10;15;26;28;35;45;4;2
10.04.13;Mittwoch;26;27;31;32;43;45;16;5
06.04.13;Samstag;5;7;17;30;32;34;35;0
03.04.13;Mittwoch;16;21;23;29;31;38;24;4
30.03.13;Samstag;7;30;31;35;39;46;8;3
27.03.13;Mittwoch;1;2;3;13;21;38;7;9
23.03.13;Samstag;9;16;30;37;41;49;10;2
20.03.13;Mittwoch;5;10;17;24;35;37;4;7
16.03.13;Samstag;4;10;17;34;39;42;45;7
13.03.13;Mittwoch;3;26;29;32;38;46;34;7
09.03.13;Samstag;2;12;14;20;39;47;16;7
06.03.13;Mittwoch;2;6;10;14;15;29;41;9
02.03.13;Samstag;2;4;14;17;45;48;27;8
27.02.13;Mittwoch;5;6;16;25;28;33;10;9
23.02.13;Samstag;17;26;35;44;46;49;47;2
20.02.13;Mittwoch;5;6;20;27;36;45;47;7
16.02.13;Samstag;6;22;23;24;33;39;18;1
13.02.13;Mittwoch;4;6;11;14;15;38;26;5
09.02.13;Samstag;5;20;22;26;29;47;25;5
06.02.13;Mittwoch;7;14;16;24;31;32;22;4
02.02.13;Samstag;2;4;17;28;34;44;40;2
30.01.13;Mittwoch;2;4;5;26;27;36;19;2
26.01.13;Samstag;12;28;31;33;36;37;18;4
23.01.13;Mittwoch;3;4;8;12;22;28;7;3
19.01.13;Samstag;23;27;28;39;45;47;6;6
16.01.13;Mittwoch;3;8;11;14;18;26;41;3
12.01.13;Samstag;7;10;11;15;43;48;38;8
09.01.13;Mittwoch;6;7;22;26;36;43;18;9
05.01.13;Samstag;22;26;39;45;47;49;43;0
02.01.13;Mittwoch;3;18;21;36;41;44;40;0
29.12.12;Samstag;11;25;31;35;38;43;29;4
26.12.12;Mittwoch;3;10;13;34;36;43;21;2
22.12.12;Samstag;11;23;32;38;44;49;45;4
19.12.12;Mittwoch;25;27;32;36;40;43;45;5
15.12.12;Samstag;4;25;27;30;31;40;19;6
12.12.12;Mittwoch;1;8;10;11;15;33;35;5
08.12.12;Samstag;15;19;27;34;42;48;31;6
05.12.12;Mittwoch;20;23;24;27;36;38;28;7
01.12.12;Samstag;2;3;4;6;23;45;1;3
28.11.12;Mittwoch;11;21;26;40;42;45;46;4
24.11.12;Samstag;2;12;23;28;32;48;31;3
21.11.12;Mittwoch;1;9;10;24;27;29;19;2
17.11.12;Samstag;5;7;15;24;32;36;35;4
14.11.12;Mittwoch;2;9;11;17;34;45;42;0
10.11.12;Samstag;2;3;25;28;38;49;14;1
07.11.12;Mittwoch;2;6;21;31;46;47;11;1
03.11.12;Samstag;7;8;26;42;43;46;16;3
31.10.12;Mittwoch;3;8;13;30;34;49;37;5
27.10.12;Samstag;11;23;33;39;44;46;8;9
24.10.12;Mittwoch;6;14;18;33;39;44;12;5
20.10.12;Samstag;6;8;11;15;26;33;17;9
17.10.12;Mittwoch;5;10;12;14;46;47;3;6
13.10.12;Samstag;9;10;36;37;42;43;20;8
10.10.12;Mittwoch;13;15;28;38;43;48;11;3
06.10.12;Samstag;8;20;22;34;44;46;40;5
03.10.12;Mittwoch;13;28;35;46;48;49;29;4
29.09.12;Samstag;1;4;20;34;39;41;47;0
26.09.12;Mittwoch;10;12;14;29;40;47;4;7
22.09.12;Samstag;7;24;40;41;48;49;1;0
19.09.12;Mittwoch;1;11;16;20;31;44;12;4
15.09.12;Samstag;6;8;9;34;41;48;23;0
12.09.12;Mittwoch;8;19;26;36;39;49;11;7
08.09.12;Samstag;19;38;39;41;48;49;4;3
05.09.12;Mittwoch;4;7;18;24;37;44;38;4
01.09.12;Samstag;3;6;7;16;26;48;22;5
29.08.12;Mittwoch;22;29;35;38;40;45;46;3
25.08.12;Samstag;16;17;22;25;27;35;42;4
22.08.12;Mittwoch;1;7;11;15;31;49;8;6
18.08.12;Samstag;5;16;28;32;34;40;18;4
15.08.12;Mittwoch;1;12;14;15;34;37;45;4
11.08.12;Samstag;1;2;3;20;47;49;35;3
08.08.12;Mittwoch;12;13;22;41;43;49;16;4
04.08.12;Samstag;15;18;22;23;38;40;11;8
01.08.12;Mittwoch;19;26;32;41;43;44;3;0
28.07.12;Samstag;16;27;31;37;41;49;20;7
25.07.12;Mittwoch;2;8;13;25;44;45;6;7
21.07.12;Samstag;4;24;26;31;38;40;27;0
18.07.12;Mittwoch;20;21;23;29;34;47;27;9
14.07.12;Samstag;6;9;10;22;29;33;5;0
11.07.12;Mittwoch;11;16;21;29;32;43;25;1
07.07.12;Samstag;6;10;29;30;43;49;34;2
04.07.12;Mittwoch;3;6;12;25;33;49;21;6
30.06.12;Samstag;7;8;20;22;30;41;27;4
27.06.12;Mittwoch;2;5;15;31;37;43;48;1
23.06.12;Samstag;11;13;19;27;33;39;2;4
20.06.12;Mittwoch;3;6;17;22;24;28;16;0
16.06.12;Samstag;1;17;28;33;46;48;10;8
13.06.12;Mittwoch;1;29;32;33;40;46;10;6
09.06.12;Samstag;10;15;17;22;28;31;12;9
06.06.12;Mittwoch;1;9;17;27;38;42;43;8
02.06.12;Samstag;9;13;26;30;37;41;33;4
30.05.12;Mittwoch;2;10;21;23;44;45;42;9
26.05.12;Samstag;5;11;15;34;44;48;8;4
23.05.12;Mittwoch;1;23;26;31;36;42;3;7
19.05.12;Samstag;20;34;36;42;43;47;17;5
16.05.12;Mittwoch;16;24;41;44;45;46;47;5
12.05.12;Samstag;13;18;30;31;34;36;2;9
09.05.12;Mittwoch;15;16;17;20;40;45;9;8
05.05.12;Samstag;5;8;14;28;31;48;42;5
02.05.12;Mittwoch;4;14;15;17;20;35;25;4
28.04.12;Samstag;11;17;20;33;37;47;36;0
25.04.12;Mittwoch;3;23;26;40;42;46;36;7
21.04.12;Samstag;6;7;19;20;24;41;17;5
18.04.12;Mittwoch;6;8;21;33;34;35;13;5
14.04.12;Samstag;26;29;37;39;42;48;32;8
11.04.12;Mittwoch;2;4;6;7;16;44;10;9
07.04.12;Samstag;2;10;12;15;35;44;43;7
04.04.12;Mittwoch;19;23;29;37;42;46;21;8
31.03.12;Samstag;1;25;26;27;40;43;4;5
28.03.12;Mittwoch;2;17;22;23;39;42;8;6
24.03.12;Samstag;22;35;37;39;43;49;30;7
21.03.12;Mittwoch;4;14;26;34;38;49;27;6
17.03.12;Samstag;3;7;23;33;42;43;1;2
14.03.12;Mittwoch;3;8;9;13;22;49;27;9
10.03.12;Samstag;1;10;15;21;26;35;39;1
07.03.12;Mittwoch;25;29;33;38;47;49;3;5
03.03.12;Samstag;4;22;24;33;40;48;31;9
29.02.12;Mittwoch;6;11;25;32;35;43;29;5
25.02.12;Samstag;7;11;14;16;43;48;38;1
22.02.12;Mittwoch;4;12;14;19;24;48;49;7
18.02.12;Samstag;3;13;25;27;40;47;26;5
15.02.12;Mittwoch;15;29;35;36;40;41;11;2
11.02.12;Samstag;2;11;32;34;48;49;14;1
08.02.12;Mittwoch;8;13;24;34;45;47;12;5
04.02.12;Samstag;10;15;24;27;40;45;17;5
01.02.12;Mittwoch;3;6;7;18;37;39;49;1
28.01.12;Samstag;1;16;19;27;37;48;4;4
25.01.12;Mittwoch;1;4;6;24;33;47;21;7
21.01.12;Samstag;26;27;43;45;46;49;11;4
18.01.12;Mittwoch;6;7;13;18;32;33;38;0
14.01.12;Samstag;1;6;7;11;20;32;26;8
11.01.12;Mittwoch;8;11;15;34;36;47;12;5
07.01.12;Samstag;22;24;29;33;37;47;2;2
04.01.12;Mittwoch;3;18;24;29;36;46;39;1
31.12.11;Samstag;2;5;11;17;19;28;10;1
28.12.11;Mittwoch;6;13;18;19;20;21;32;5
24.12.11;Samstag;6;12;26;27;32;36;42;9
21.12.11;Mittwoch;15;17;21;24;39;43;5;1
17.12.11;Samstag;3;19;33;38;44;47;27;6
14.12.11;Mittwoch;8;14;29;32;36;37;38;9
10.12.11;Samstag;2;4;5;10;25;34;24;7
07.12.11;Mittwoch;11;16;20;27;32;38;1;7
03.12.11;Samstag;1;10;25;29;44;47;22;7
30.11.11;Mittwoch;4;12;18;31;42;44;13;1
26.11.11;Samstag;3;13;23;33;38;49;4;5
23.11.11;Mittwoch;1;10;23;30;38;39;11;4
19.11.11;Samstag;9;24;26;33;40;47;16;5
16.11.11;Mittwoch;8;14;26;33;47;49;15;4
12.11.11;Samstag;7;12;15;16;30;42;2;9
09.11.11;Mittwoch;6;14;20;27;28;48;33;7
05.11.11;Samstag;7;13;21;37;41;43;24;0
02.11.11;Mittwoch;3;6;23;40;41;43;14;4
29.10.11;Samstag;6;17;23;24;35;44;10;7
26.10.11;Mittwoch;15;30;33;34;37;38;47;5
22.10.11;Samstag;6;7;8;26;34;35;11;5
19.10.11;Mittwoch;8;10;15;25;31;34;40;4
15.10.11;Samstag;2;5;16;18;37;39;9;5
12.10.11;Mittwoch;8;10;28;40;43;46;17;7
08.10.11;Samstag;24;25;29;31;34;47;35;0
05.10.11;Mittwoch;1;2;15;33;43;45;18;8
01.10.11;Samstag;9;13;17;21;29;47;31;1
28.09.11;Mittwoch;10;14;18;27;38;43;35;5
24.09.11;Samstag;3;5;6;18;24;42;46;3
21.09.11;Mittwoch;10;24;27;31;41;46;14;5
17.09.11;Samstag;12;23;38;42;46;49;20;1
14.09.11;Mittwoch;4;5;23;32;39;44;25;7
10.09.11;Samstag;6;9;10;16;28;43;36;0
07.09.11;Mittwoch;4;10;23;27;28;39;32;1
03.09.11;Samstag;2;8;17;31;36;42;15;2
31.08.11;Mittwoch;15;17;26;29;32;47;31;7
27.08.11;Samstag;27;29;40;43;44;49;24;0
